ID,VP Index,Mediana,L_R,ID_Parent,L_kid,R_kid,L_kid_N,R_kid_N,Left Bound,Right Bound
97,107,0,1,96,-1,-1,0,0,0,0
98,9,1.65016,1,91,99,101,2,4,1.54946,1.85575
99,75,0.259429,-1,98,-1,100,0,1,0,0.518859
100,84,0,1,99,-1,-1,0,0,0,0
101,90,1.13802,1,98,102,103,1,2,1.10335,1.17269
102,91,0,-1,101,-1,-1,0,0,0,0
103,117,0.195759,1,101,-1,104,0,1,0,0.391518
104,118,0,1,103,-1,-1,0,0,0,0
105,76,1.30563,1,90,106,112,6,8,1.26567,1.32783
106,89,1.9114,-1,105,107,109,2,3,1.85214,1.97065
107,94,0.114926,-1,106,-1,108,0,1,0,0.229852
108,96,0,1,107,-1,-1,0,0,0,0
109,86,0.641459,1,106,-1,110,0,2,0,0.81437
110,74,0.198074,1,109,-1,111,0,1,0,0.396148
111,97,0,1,110,-1,-1,0,0,0,0
112,103,0.804803,1,105,113,116,3,4,0.76256,0.847045
113,64,0.754879,-1,112,-1,114,0,2,0,0.955962
114,78,0.551479,1,113,-1,115,0,1,0,1.10296
115,79,0,1,114,-1,-1,0,0,0,0
116,71,0.435191,1,112,117,118,1,2,0.371387,0.498995
117,66,0,-1,116,-1,-1,0,0,0,0
118,115,0.469068,1,116,-1,119,0,1,0,0.938136
119,88,0,1,118,-1,-1,0,0,0,0
