ID,VP Index,Mediana,L_R,ID_Parent,L_kid,R_kid,L_kid_N,R_kid_N,Left Bound,Right Bound
106,78,0.668282,-1,105,107,109,2,3,0.613999,0.722565
107,74,0.455486,-1,106,-1,108,0,1,0,0.910972
108,102,0,1,107,-1,-1,0,0,0,0
109,64,0.234028,1,106,-1,110,0,2,0,0.579408
110,103,0.234845,1,109,-1,111,0,1,0,0.46969
111,83,0,1,110,-1,-1,0,0,0,0
112,76,2.55924,1,105,113,116,3,4,2.52648,2.592
113,91,0.306213,-1,112,-1,114,0,2,0,3.28183
114,75,1.78697,1,113,-1,115,0,1,0,3.57395
115,89,0,1,114,-1,-1,0,0,0,0
116,9,3.0361,1,112,117,118,1,2,2.26774,3.80445
117,51,0,-1,116,-1,-1,0,0,0,0
118,17,3.71638,1,116,-1,119,0,1,0,7.43277
119,70,0,1,118,-1,-1,0,0,0,0
